"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT04272710","Clinical Characteristics Difference Between the Hypertension Patients With and Without ACEI Treatment When Suffered With 2019-nCoV Infection in China",,"Recruiting","No Results Available","2019-nCoV",,"Occupancy rate in the intensive care unit (ICU)|Mechanical Ventilation|Death|All cause mortality|Time from onset of symptoms to main outcome and its components|Time to Clinical Recovery","Chongqing Medical University","All","18 Years to 100 Years ? (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","2020-02","January 25, 2020","March 31, 2020","April 30, 2020","February 17, 2020",,"February 17, 2020","The First Affiliated Hospital of Chongqing Medical University, Chongqing, China",,"https://ClinicalTrials.gov/show/NCT04272710"
12,"NCT04254874","A Prospective,Randomized Controlled Clinical Study of Interferon Atomization in the 2019-nCoV Pneumonia",,"Not yet recruiting","No Results Available","2019-nCoV","Drug: Abidol hydrochloride|Drug: Abidol Hydrochloride combined with Interferon atomization","Rate of disease remission|Time for lung recovery|Rate of no fever|Rate of respiratory symptom remission|Rate of lung imaging recovery|Rate of CRP,ES,Biochemical criterion (CK,ALT,Mb)recovery|Rate of undetectable viral RNA","Tongji Hospital","All","18 Years and older ? (Adult, Older Adult)","Phase 4","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","TJ20200131","February 1, 2020","June 1, 2020","July 1, 2020","February 5, 2020",,"February 5, 2020",,,"https://ClinicalTrials.gov/show/NCT04254874"
13,"NCT04292730","Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734?) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment",,"Not yet recruiting","No Results Available","COVID-19","Drug: Remdesivir|Drug: Standard of Care","Proportion of Participants Discharged by Day 14|Proportion of Participants With Treatment Emergent Adverse Events Leading to Study Drug Discontinuation","Gilead Sciences","All","18 Years and older ? (Adult, Older Adult)","Phase 3","600","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GS-US-540-5774|2020-000842-32","March 2020","May 2020","May 2020","March 3, 2020",,"March 3, 2020",,,"https://ClinicalTrials.gov/show/NCT04292730"
14,"NCT04251767","Washed Microbiota Transplantation for Patients With 2019-nCoV Infection",,"Enrolling by invitation","No Results Available","2019-nCoV","Other: washed microbiota transplantation|Other: placebo","Number of participants with improvement from severe type to common type","The Second Hospital of Nanjing Medical University","All","14 Years to 70 Years ? (Child, Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","WMT-YJ-202001","February 2, 2020","April 2, 2020","April 16, 2020","February 5, 2020",,"February 11, 2020","Medical Center for Digestive Diseases, The Second Affiliated Hospital of Nanjing Medical University, Nanjing, Jiangsu, China",,"https://ClinicalTrials.gov/show/NCT04251767"
15,"NCT04261270","A Randomized,Open,Controlled Clinical Study to Evaluate the Efficacy of ASC09F and Ritonavir for 2019-nCoV Pneumonia",,"Not yet recruiting","No Results Available","2019-nCoV Pneumonia","Drug: ASC09F+Oseltamivir|Drug: Ritonavir+Oseltamivir|Drug: Oseltamivir","Rate of comprehensive adverse outcome|Time of clinical remission|Rate of no fever|Rate of no cough|Rate of no dyspnea|Rate of no need for oxygen inhalation|Rate of undetectable viral RNA|Rate of mechanical ventilation|Rate of ICU admission|Rate and time of CRP,ES,Biochemical criterion(CK,ALT,Mb)recovery","Tongji Hospital","All","18 Years to 55 Years ? (Adult)","Phase 3","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","ASC09F-CTP-TJ-01","February 1, 2020","May 1, 2020","July 1, 2020","February 7, 2020",,"February 7, 2020",,,"https://ClinicalTrials.gov/show/NCT04261270"
16,"NCT04293692","Therapy for Pneumonia Patients iInfected by 2019 Novel Coronavirus",,"Recruiting","No Results Available","COVID-19","Biological: UC-MSCs|Other: Placebo","Size of lesion area by chest imaging|Blood oxygen saturation|Rate of mortality within 28-days|Sequential organ failure assessment|Side effects in the UC-MSCs treatment group|Electrocardiogram, the changes of ST-T interval mostly|Concentration of C-reactive protein C-reactive protein, immunoglobulin|CD4+ and CD8+ T cells count|Concentration of the blood cytokine (IL-1É¿, IL-6, IL-8,IL-10,TNF-Éø)|Concentration of the myocardial enzymes","Puren Hospital Affiliated to Wuhan University of Science and Technology|Wuhan Hamilton Bio-technology Co., Ltd","All","18 Years to 75 Years ? (Adult, Older Adult)","Not Applicable","48","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","Pr20200225","February 24, 2020","May 1, 2020","February 1, 2021","March 3, 2020",,"March 3, 2020","Puren Hospital Affiliated to Wuhan University of Science and Technology, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04293692"
17,"NCT04273529","The Efficacy and Safety of Thalidomide in the Adjuvant Treatment of Moderate New Coronavirus (COVID-19) Pneumonia",,"Not yet recruiting","No Results Available","COVID-19 Thalidomide","Drug: thalidomide|Drug: placebo","Time to Clinical recoveryTime to Clinical Recovery (TTCR)|All cause mortality|Frequency of respiratory progression|Time to defervescence","First Affiliated Hospital of Wenzhou Medical University|Second Affiliated Hospital of Wenzhou Medical University|Wenzhou Central Hospital","All","18 Years and older ? (Adult, Older Adult)","Phase 2","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","20200214-COVID-19-M-T","February 20, 2020","May 30, 2020","June 30, 2020","February 18, 2020",,"February 21, 2020",,,"https://ClinicalTrials.gov/show/NCT04273529"
18,"NCT04273581","The Efficacy and Safety of Thalidomide Combined With Low-dose Hormones in the Treatment of Severe COVID-19",,"Not yet recruiting","No Results Available","COVID-19 Thalidomide","Drug: placebo|Drug: Thalidomide","Time to Clinical Improvement (TTCI)|Clinical status|Time to Hospital Discharge OR NEWS2 (National Early Warning Score 2) of ? 2 maintained for 24 hours|All cause mortality|Duration (days) of mechanical ventilation|Duration (days) of extracorporeal membrane oxygenation|Duration (days) of supplemental oxygenation|Length of hospital stay (days)|Time to 2019-nCoV RT-PCR negativity in upper and lower respiratory tract specimens|Change (reduction) in 2019-nCoV viral load in upper and lower respiratory tract specimens as assessed by area under viral load curve.|Frequency of serious adverse drug events|Serum TNF-Éø, IL-1É¿, IL-2, IL-6, IL-7, IL-10, GSCF, IP10#MCP1, MIP1Éø and other cytokine expression levels before and after treatment","First Affiliated Hospital of Wenzhou Medical University|Second Affiliated Hospital of Wenzhou Medical University|Wenzhou Central Hospital","All","18 Years and older ? (Adult, Older Adult)","Phase 2","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","20200214-COVID-19-S-T","February 18, 2020","April 30, 2020","May 30, 2020","February 18, 2020",,"February 21, 2020",,,"https://ClinicalTrials.gov/show/NCT04273581"
19,"NCT04263402","The Efficacy of Different Hormone Doses in 2019-nCoV Severe Pneumonia",,"Not yet recruiting","No Results Available","2019-nCoV Severe Pneumonia","Drug: Methylprednisolone","Rate of disease remission|Rate and time of entering the critical stage|Rate of normal tempreture|Rate of respiratory symptom remission|Rate of lung imaging recovery|Rate of laboratory indicator recovery|Rate of undetectable viral RNA","Tongji Hospital","All","18 Years and older ? (Adult, Older Adult)","Phase 4","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","TJ20200201","February 1, 2020","June 1, 2020","July 1, 2020","February 10, 2020",,"February 10, 2020",,,"https://ClinicalTrials.gov/show/NCT04263402"
20,"NCT04280588","Fingolimod in COVID-19",,"Recruiting","No Results Available","Coronavirus Disease (COVID-19)","Drug: Fingolimod 0.5 mg","The change of pneumonia severity on X-ray images","First Affiliated Hospital of Fujian Medical University","All","18 Years to 80 Years ? (Adult, Older Adult)","Phase 2","30","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MRCTA, ECFAH of FMU [2020]027","February 22, 2020","July 1, 2020","July 1, 2020","February 21, 2020",,"February 21, 2020","Wan-Jin Chen, Fuzhou, China",,"https://ClinicalTrials.gov/show/NCT04280588"
21,"NCT04276896","Immunity and Safety of Covid-19 Synthetic Minigene Vaccine",,"Recruiting","No Results Available","Pathogen Infection Covid-19 Infection","Biological: Injection and infusion of LV-SMENP-DC vaccine and antigen-specific CTLs","Clinical improvement based on the 7-point scale|Lower Murray lung injury score|28-day mortality|Duration of mechanical ventilation|Duration of hospitalization|Proportion of patients with negative RT-PCR results|Proportion of patients in each category of the 7-point scale|Proportion of patients with normalized inflammation factors|Frequency of vaccine/CTL Events|Frequency of Serious vaccine/CTL Events","Shenzhen Geno-Immune Medical Institute","All","6 Months to 80 Years ? (Child, Adult, Older Adult)","Phase 1|Phase 2","100","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GIMI-IRB-20001","February 24, 2020","July 31, 2023","December 31, 2024","February 19, 2020",,"March 3, 2020","Shenzhen Geno-immune Medical Institute, Shenzhen, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04276896"
22,"NCT04279197","Treatment of Pulmonary Fibrosis Due to 2019-nCoV Pneumonia With Fuzheng Huayu",,"Recruiting","No Results Available","Pulmonary Fibrosis Due to 2019-nCoV","Drug: N-acetylcysteine+ Fuzheng Huayu Tablet|Drug: N-acetylcysteine+Placebo","High-resolution computed tomography (HRCT) score|Lung function including FVC, FVC as a percentage of projected value and DLco|Times of acute exacerbation|Six-minute walk distance|Dyspnea Scores|Composite physiological index","ShuGuang Hospital|Hubei Hospital of Traditional Chinese Medicine|Jingmen No.1 PeopleÅfs Hospital|Tongji Hospital","All","18 Years to 65 Years ? (Adult, Older Adult)","Phase 2","136","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","Fzhy-ncp-2","February 15, 2020","December 2022","December 2022","February 21, 2020",,"February 21, 2020","Shuguang Hospital, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04279197"
23,"NCT04284046","CT Scores Predict Mortality in 2019-nCoV Pneumonia",,"Completed","No Results Available","CT Scores Predict Mortality in 2019-nCoV Pneumonia","Other: CT score","7-day mortality","Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine","All","Child, Adult, Older Adult",,"39","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","CT2019-nCoV","January 31, 2020","February 18, 2020","February 18, 2020","February 25, 2020",,"February 25, 2020","Wuhan third hospital, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04284046"
24,"NCT04288102","Treatment With Mesenchymal Stem Cells for Severe Corona Virus Disease 2019(COVID-19)",,"Not yet recruiting","No Results Available","Corona Virus Disease 2019(COVID-19)","Biological: MSCs|Biological: Saline containing 1% Human serum albuminÅisolution of MSCÅj","Improvement time of clinical critical treatment index within 28 days|Side effects in the MSCs treatment group|Proportion of patients in each classification of clinical critical treatment index|All cause mortality on Day 28|Invasive mechanical ventilation rate|Duration of oxygen therapy(days)|Duration of hospitalization(days)|Incidence of nosocomial infection|CD4+ T cell count by flow cytometry in two groups","Beijing 302 Hospital|VCANBIO CELL & GENE ENGINEERING CORP.,LTD, China|Wuhan Huoshenshan Hospital, Wuhan, China|Tianjin Haihe Hospital|Shenzhen Third People's Hospital|Fifth Affiliated Hospital, Sun Yat-Sen University|Wuhan Union Hospital, China|West China Hospital","All","18 Years to 70 Years ? (Adult, Older Adult)","Phase 1|Phase 2","45","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2020-013-D","February 28, 2020","December 31, 2020","December 31, 2021","February 28, 2020",,"February 28, 2020",,,"https://ClinicalTrials.gov/show/NCT04288102"
25,"NCT04286503","The Clinical Study of Carrimycin on Treatment Patients With COVID-19",,"Not yet recruiting","No Results Available","Novel Coronavirus Infectious Disease (COVID-19)","Drug: Carrimycin|Drug: lopinavir/ritonavir tablets or Arbidol or chloroquine phosphate|Drug: basic treatment","Fever to normal time (day)|Pulmonary inflammation resolution time (HRCT) (day)|Negative conversion (%) of 2019-nCOVRNA in gargle (throat swabs) at the end of treatment","Beijing YouAn Hospital|Shenyang Tonglian Group Co., Ltd.|Institute of Medicine and Biotechnology, Chinese Academy of Medical Sciences|Huangshi Central Hospital|Shenyang Pharmaceutical University|First Affiliated Hospital of Chongqing Medical University|The Second Affiliated Hospital of Harbin Medical University|No.2 People's Hospital of Fuyang City|First Affiliated Hospital Bengbu Medical College|Renmin Hospital of Wuhan University|The sixth people's hospital of Shenyang|Nanyang Central Hospital","All","18 Years to 75 Years ? (Adult, Older Adult)","Phase 4","520","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BeijingYouan Hospital","February 23, 2020","February 28, 2021","February 28, 2021","February 27, 2020",,"February 27, 2020",,"""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/03/NCT04286503/Prot_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/03/NCT04286503/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT04286503"
26,"NCT04273763","Evaluating the Efficacy and Safety of Bromhexine Hydrochloride Tablets Combined With Standard Treatment/ Standard Treatment in Patients With Suspected and Mild Novel Coronavirus Pneumonia (COVID-19)",,"Enrolling by invitation","No Results Available","Novel Coronavirus Pneumonia|2019-nCoV","Drug: Bromhexine Hydrochloride Tablets|Drug: Arbidol Hydrochloride Granules|Drug: Recombinant Human Interferon Éø2b Spray|Drug: Favipiravir Tablets","Time to clinical recovery after treatment|Rate of aggravation|Clinical remission rate|Dynamic changes of oxygenation index|Time to cure|rate to cure|Time to defervescence|Time to cough remission|Time to dyspnea remission|Days of supplemental oxygenation|Rate of patients with requring supplemental oxygen|Rate of patients with mechanical ventilation|Time of negative COVID-19 nucleic acid results|Rate of negative COVID-19 nucleic acid results|Rate of ICU admission|28-day mortality","Second Affiliated Hospital of Wenzhou Medical University|WanBangDe Pharmaceutical Group Co.,Ltd.","All","18 Years to 80 Years ? (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2019NCP1.0","February 16, 2020","April 15, 2020","April 30, 2020","February 18, 2020",,"February 28, 2020","The Second AffIliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China",,"https://ClinicalTrials.gov/show/NCT04273763"
27,"NCT04273321","Efficacy and Safety of Corticosteroids in COVID-19",,"Recruiting","No Results Available","COVID-19|Novel Coronavirus Pneumonia","Drug: Methylprednisolone","the incidence of treatment failure in 14 days|clinical cure incidence in 14 days|the duration of virus change to negative|mortality at day 30|ICU admission rate in 30 days","Beijing Chao Yang Hospital","All","18 Years and older ? (Adult, Older Adult)","Not Applicable","400","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Methylprednisolone in COVID-19","February 14, 2020","May 1, 2020","May 30, 2020","February 18, 2020",,"February 24, 2020","Hubei province hospital of integrated Chinese & Western Medicine, Wuhan, Hubei, China|Yichang first people's Hospital, Yichang, Hubei, China|Renmin Hospital of Wuhan University, Wuhan, China|Tianyou Hospital Affiliated to Wuhan University of science and technology, Wuhan, China|Union Hospital Affiliated to Tongji Medical College of Huazhong University of science and technology, Wuhan, China",,"https://ClinicalTrials.gov/show/NCT04273321"
28,"NCT04264858","Treatment of Acute Severe 2019-nCoV Pneumonia With Immunoglobulin From Cured Patients",,"Not yet recruiting","No Results Available","2019-nCoV|Immunoglobulin of Cured Patients","Drug: Immunoglobulin of cured patients|Drug: É¡-Globulin","Time to Clinical Improvement (TTCI)|Clinical status assessed by the ordinal scale|The differences in oxygen intake methods|Duration (days) of supplemental oxygenation|Duration (days) of mechanical ventilation|The mean PaO2/FiO2|The lesions of the pulmonary segment numbers involved in pulmonary CT [ every 7 days]|Time to 2019-nCoV RT-PCR negativity in respiratory tract specimens [every 3 days]|Dynamic changes of 2019-nCoV antibody titer in blood|Length of hospital stay (days)|All cause mortality","Wuhan Union Hospital, China","All","18 Years and older ? (Adult, Older Adult)","Not Applicable","10","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","WuhanUH-2019 nCoV-Ig","February 17, 2020","April 30, 2020","May 31, 2020","February 11, 2020",,"February 11, 2020","Department of Cardiology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04264858"
